ColName,OriColName,Description
Q1,self_employed,Are you self-employed?
Q2,family_history,Do you have a family history of mental illness?
Q3,treatment,Have you sought treatment for a mental health condition?
Q4,work_interfere,"If you have a mental health condition, do you feel that it interferes with your work?"
Q5,no_employees,How many employees does your company or organization have?
Q6,remote_work,Do you work remotely (outside of an office) at least 50% of the time?
Q7,tech_company,Is your employer primarily a tech company/organization?
Q8,benefits,Does your employer provide mental health benefits?
Q9,care_options,Do you know the options for mental health care your employer provides?
Q10,wellness_program,Has your employer ever discussed mental health as part of an employee wellness program?
Q11,seek_help,Does your employer provide resources to learn more about mental health issues and how to seek help?
Q12,anonymity,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources?
Q13,leave,How easy is it for you to take medical leave for a mental health condition?
Q14,mental_health_consequence,Do you think that discussing a mental health issue with your employer would have negative consequences?
Q15,phys_health_consequence,Do you think that discussing a physical health issue with your employer would have negative consequences?
Q16,coworkers,Would you be willing to discuss a mental health issue with your coworkers?
Q17,supervisor,Would you be willing to discuss a mental health issue with your direct supervisor(s)?
Q18,mental_health_interview,Would you bring up a mental health issue with a potential employer in an interview?
Q19,phys_health_interview,Would you bring up a physical health issue with a potential employer in an interview?
Q20,mental_vs_physical,Do you feel that your employer takes mental health as seriously as physical health?
Q21,obs_consequence,Have you heard of or observed negative consequences for coworkers with mental health conditions in your workplace?
Q22,comments,Any additional notes or comments
